sub-sector,inventory,sub_inventory,subinv_units,values
other-energy-use,climate-trace,climate-trace,electricity-generation,-1
other-energy-use,edgar,edgar,1.A.1.a Main Activity Electricity and Heat Production,1
railways,edgar,edgar,1.A.3.c Railways,1
road-transportation,edgar,edgar,1.A.3.b_noRES Road Transportation no resuspension,1
other-transport,edgar,edgar,1.A.3.a Civil Aviation,1
other-transport,edgar,edgar,1.A.3.d Water-borne Navigation,1
other-transport,edgar,edgar,1.A.3.e Other Transportation,1
other-transport,climate-trace,climate-trace,domestic-aviation,-1
other-transport,climate-trace,climate-trace,international-aviation,-1
residential-and-commercial-onsite-fuel-usage',edgar,edgar,1.A.4 Other Sectors,1
other-onsite-fuel-usage,edgar,edgar,1.A.5 Non-Specified,1
solid-fuel-transformation,edgar,edgar,1.B.1 Solid Fuels,1
solid-fuel-transformation,climate-trace,climate-trace,coal-mining,-1
other-fossil-fuel-operations,edgar,edgar,1.B.2 Oil and Natural Gas,1
other-fossil-fuel-operations,edgar,edgar,1.A.1.bc Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,1
other-fossil-fuel-operations,climate-trace,climate-trace,oil-and-gas-production-and-transport,-1
other-fossil-fuel-operations,climate-trace,climate-trace,oil-and-gas-refining,-1
other-manufacturing,edgar,edgar,1.A.2 Manufacturing Industries and Construction,1
other-manufacturing,edgar,edgar,2.A.1 Cement production,1
other-manufacturing,edgar,edgar,2.A.2 Lime production,1
other-manufacturing,edgar,edgar,2.A.3 Glass Production,1
other-manufacturing,edgar,edgar,2.A.4 Other Process Uses of Carbonates,1
other-manufacturing,edgar,edgar,2.B Chemical Industry,1
other-manufacturing,edgar,edgar,2.C Metal Industry,1
other-manufacturing,edgar,edgar,2.D Non-Energy Products from Fuels and Solvent Use,1
other-manufacturing,climate-trace,climate-trace,cement,-1
other-manufacturing,climate-trace,climate-trace,chemicals,-1
other-manufacturing,climate-trace,climate-trace,steel,-1
other-manufacturing,climate-trace,climate-trace,aluminum,-1
other-manufacturing,climate-trace,climate-trace,pulp-and-paper,-1
other-manufacturing,climate-trace,climate-trace,bauxite-mining,-1
other-manufacturing,climate-trace,climate-trace,copper-mining,-1
other-manufacturing,climate-trace,climate-trace,iron-mining,-1
other-manufacturing,climate-trace,climate-trace,rock-quarrying,-1
other-manufacturing,climate-trace,climate-trace,sand-quarrying,-1
enteric-fermentation,faostat,faostat,Enteric Fermentation,1
manure-management,faostat,faostat,Manure Management,1
other-agricultural-soil-emissions,faostat,faostat,Manure left on Pasture,1
other-agricultural-soil-emissions,faostat,faostat,Crop Residues,1
other-agricultural-soil-emissions,faostat,faostat,Drained organic soils,1
solid-waste-disposal,edgar,edgar,4.A Solid Waste Disposal,1
biological-treatment-of-solid-waste-&-biogenic,edgar,edgar,4.B Biological Treatment of Solid Waste,1
incineration-and-open-burning-of-waste,edgar,edgar,4.C Incineration and Open Burning of Waste,1
wastewater-treatment-and-discharge,edgar,edgar,4.D Wastewater Treatment and Discharge,1
flourinated-gases,edgar,edgar,2.B Chemical Industry,1
flourinated-gases,edgar,edgar,2.C Metal Industry,1
flourinated-gases,edgar,edgar,2.E Electronics Industry,1
flourinated-gases,edgar,edgar,2.G Other Product Manufacture and Use,1
flourinated-gases,edgar,edgar,2.F Product Uses as Substitutes for Ozone Depleting Substances,1
